Name,Type,Rating,No of Reviews,Comments,Contact Number,Price,Address
Perry St," Contemporary, Vegetarian Friendly, Gluten Free Options",4.5,367.0,"Upscale restaurant in an unexpected location. Great value with the restaurant week menu. Everything was very tasty, maybe just a bit too salty. We had the tuna tartar to start and the duck as a main. We also tried the braised lamb shank, which was...More",+1 212-352-1900,4.0,"176 Perry St, New York City, NY 10014-2384"
Stockade Inn," American, Bar, Pub",4.0,82.0,"This hotel may not be for everyone, but it should be!  The building itself is situated on a corner in a peaceful section of the city. It's far enough from the hustle and bustle to be quiet and relaxing, and yet it is within walking...More",+1 518-346-3400,2.5,"1 N Church St, Schenectady, NY 12305-1698"
Ambition Bistro," American, Cafe, Vegetarian Friendly",4.5,133.0,"This little cafe was a great surprise. The food was excellent, the atmosphere was unique and casual and the staff was chill and friendly!",+1 518-382-9277,2.5,"154 Jay St, Schenectady, NY 12305-1906"
Ice House on the Hudson," American, Bar",3.5,363.0,"The food here is always good. That being said, it's just good. But you're going there for the ambiance. Sitting right out on the Hudson River is stunning. Will continue to go back for this reason!",+1 845-232-5783,2.5,"1 Main St, Poughkeepsie, NY 12601-2907"
San Carlo Osteria Piemonte," Italian, Mediterranean, Vegetarian Friendly",4.5,695.0,Was greatly pleased by this discovery in Soho. The staff is great and the food more than incredible plus a good selection of wine makes this a pleasant place to eat.,+1 212-625-1212,2.5,"90 Thompson St, New York City, NY 10012-3744"
Butcher Bar," American, Bar, Barbecue",4.5,314.0,Tried this place in on a groupon and this place blew me away. The food was amazing and the service was 5 stars. I can't wait to go back.,+1 718-606-8140,2.5,"3710 30th Ave, Astoria, NY 11103-4331"
Jines Restaurant," American, Greek, Vegetarian Friendly",4.0,501.0,We have heard high reviews about this restaurant and finally had the opportunity to get to that side of time only to be disappointed. My Spanakopita had no taste and from the other reviews I saw others received pita bread. I did not .  I...More,+1 585-461-1280,2.5,"658 Park Ave, Rochester, NY 14607-2943"
Cannelle Patisserie," Bakeries, Cafe, French",4.5,86.0,French pastry the best place. Delicious breakfast and good Service free  parking.I will  recommend Very clean pastry,+1 718-565-6200,2.5,"7559 31st Ave, Flushing, NY 11370-1811"
Saigon Kitchen," Asian, Vietnamese, Vegetarian Friendly",4.5,331.0,"We were passing through Ithaca in route to Corning.  Stopped by in this place based on reviews.  Delicious food, friendly staff who were helpful and the food is out of this world.  Absolutely delicious.  Look forward to going there again if I'm ever in this...More",+1 607-257-8881,2.5,"526 W State St, Ithaca, NY 14850-5222"
Hahm Ji Bach," Barbecue, Asian, Korean",4.5,53.0,"We actually came here after we couldn't get in to two other Korean BBQ places on a Sat nite with no reservations.  I thought we lucked out since the food was very good and service was fine too. When ordering beef to cook, go with...More",+1 718-460-9289,2.5,"4011 149th Pl, Flushing, NY 11354-4942"
The Mouzon House," French, Cajun & Creole, American",4.5,356.0,Wonderful dinner but expensive. $25 mac & cheese! We would visit more often but bringing friends can be difficult due to prices. Great food!,+1 518-226-0014,4.0,"1 York St, Saratoga Springs, NY 12866-2309"
Mill House Brewing Company," American, Bar, Pub",4.5,694.0,Haven’t been here in a long time. Glad I stopped. Visually stunning environment. Creative and inventive cuisine. Homemade sausage and house made brews. Fresh made rigatoni with sausage. Superb Bacon and ham club sandwiches with string fries. The Chick pea appetizer was delicious!! Very attentive...More,+1 845-485-2739,2.5,"289 Mill St, Poughkeepsie, NY 12601-3111"
Trattoria Romana," Italian, Vegetarian Friendly, Gluten Free Options",4.5,259.0,We drove over from Pennsylvania to by Christmas decorations at the Garden Center down the street and were steered to this restaurant by the gentleman at the Garden Center. He did us a great favor as we had a wonderful lunch with excellent food in...More,+1 718-980-3113,2.5,"1476 Hylan Blvd, Staten Island, NY 10305-1923"
Martha's Country Bakery," Bakeries, Cafe",4.5,127.0,"Family oriented. Fresh, flavorful and delicious desserts, especially the berry napoleon and the chocolate layer cake. A must go to in Astoria.",+1 718-545-9737,2.5,"3621 Ditmars Blvd, Astoria, NY 11105-1918"
Lola's Catering and Cafe," American, Cafe, Asian",4.5,201.0,"Very good, homemade food. Even though you order at the counter, the staff was friendly and accommodating. There is a good assortment of sandwiches, salads, and burgers. A great option for lunch or takeout.",+1 845-471-8555,2.5,"131 Washington St, Poughkeepsie, NY 12601-1813"
Nanking  rockaway," Indian, Asian, Chinese",4.5,36.0,"We're just staying in a hotel near my for an early morning flight. So glad we decided to  leave the hotel restaurant behind and try this place! The neighborhood is a little sketchy but there was plenty of parking right in front! 

The food is...More",+1 718-323-3555,2.5,"13407 Rockaway Blvd, South Ozone Park, NY 11420-3020"
Benjamin Steakhouse," American, Steakhouse, Gluten Free Options",4.0,232.0,Had dinner with 4 friends in December. We received good service from our waiter however a few of us were not impressed with the cut or flavor of our meat. We had 2 bottles of wine with dinner and appetizers and our check was almost...More,+1 914-428-6868,4.0,"610 W Hartsdale Ave, White Plains, NY 10607-1812"
Ora Di Pasta," Italian, Mediterranean, Vegetarian Friendly",4.5,235.0,Decent pasta in a good area of NYC. Very cool restaurant area in the food hall of the Home Alone Plaza Hotel!,+1 646-755-3013,2.5,"1 W 59 Th Street, New York City, NY 10019"
Texas de Brazil," Steakhouse, Brazilian",4.0,237.0,"Went to celebrate a birthday. $10 for a half a glass of room Temperature wine was too much. Ordered bottled water. Water was poured n then we noticed a glass was dirty. We were given a clean glass, but, the full glass from the bottle...More",+1 914-652-9660,4.0,"1 Ridge Hill Blvd., Yonkers, NY 10710"
Gershon's Deli," American, Deli, Vegetarian Friendly",4.5,158.0,"Gershon’s has consistently served quality food for the past 50 years, including catering our wedding with 150 guests back in 1975!",+1 518-393-0617,2.5,"1600 Union St, Schenectady, NY 12309-6147"
Persian Bite," Middle Eastern, Persian, Vegetarian Friendly",4.5,59.0,Went here during a college visit with my son. Delicious! We have Persian friends at home and this is like having dinner in their house. The spice smell is intoxicating. Can't wait to go back as my son will be a Freshman at Union in...More,+1 518-393-0693,2.5,"703 Union St, Schenectady, NY 12305-1504"
Casa Real Mexican Restaurant," Mexican, Southwestern, Vegetarian Friendly",4.5,73.0,"Service:
Was marginally acceptable, moderate crowd. Seemed a bit unorganized.
Food:
Was not a fan. Ordered Carne Asada, it lacked flavor, really seemed to be a low quality piece of beef, slapped on a grill. Masa and filling on the Tamale, dry. Salsa, very mild....More",+1 518-356-0060,2.5,"1400 Altamont Ave Ste 2, Schenectady, NY 12303-2909"
Trattoria L'incontro," Italian, Vegetarian Friendly, Vegan Options",4.5,415.0,"We were in town from sunny Florida to celebrate our daughters birthdays. My son in law ( Ron ), who is the ultimate Italian foodie,  took us here for the big night ( he’s a regular). Everything from the incredible food ( which he picked...More",+1 718-721-3532,4.0,"2176 31st St, Astoria, NY 11105-2602"
Spice Symphony 31st," Indian, Asian, Vegetarian Friendly",4.5,201.0,"There was absolutely nothing not to love about this great spot. We are ethnic food afficionados and travel alot. Of our four dinners in Manhattan, this is our numero uno choice. The food was absolutely delicious ( chicken tikka masala with a bit of added...More",+1 212-545-7742,2.5,"182 Lexington Ave, New York City, NY 10016-6849"
Russ & Daughters Cafe," American, Cafe, Deli",4.5,671.0,"This deli is perfect for an interesting selection of comfort food, great service and ambiance that makes you feel right at home. And I'm Irish.",+1 212-475-4881,2.5,"127 Orchard St, New York City, NY 10002-3103"
Ora Di Pasta," Italian, Mediterranean, Vegetarian Friendly",4.5,235.0,Decent pasta in a good area of NYC. Very cool restaurant area in the food hall of the Home Alone Plaza Hotel!,+1 646-755-3013,2.5,"1 W 59 Th Street, New York City, NY 10019"
Yonkers Brewing Company," American, Bar, Pub",4.5,66.0,Really good beers and great location. The food is great for small or large groups. Staff was really nice and made the experience great.,+1 914-226-8327,2.5,"92 Main St, Yonkers, NY 10701-7065"
City Island Lobster House," Seafood, American",4.0,361.0,My girl friend came up from Charleston and we went to lobster house. The food was fantastic. She had the surf and turf and I had my usual which is king crab legs. I have never been disappointed eating here. The service is great and...More,+1 718-885-1459,2.5,"691 Bridge St, Bronx, NY 10464-1102"
Nino's," Italian, Vegetarian Friendly, Gluten Free Options",4.5,95.0,"Family from New Jersey and Long Island came to visit on the same day.  There would be 18 of us, so we decided to go to Nino's.  Our reservation was for 1 PM, and when we arrived we were seated immediately at two adjacent tables....More",+1 718-448-3838,2.5,"1110 Hylan Blvd, Staten Island, NY 10305-2030"
San Matteo Pizza Espresso Bar," Italian, Pizza, Vegetarian Friendly",4.5,370.0,"I love San Matteo. We've eaten there maybe 4 times now and taken friends. The thin crust Italian based pizza reminds us of Franco Manca (for the Brits reading this). Delicious and slightly charcoalled in places.
The ravioli with vodka sauce is a must try,...More",+1 212-426-6943,2.5,"1739 2nd Ave, New York City, NY 10128-3502"
J P Clarkes, Pub,4.5,23.0,"Great Local Bar and Restaurant in Yonkers, great food with a nice atmosphere, truly a local place to go for a bite to eat.",+1 914-237-0115,2.5,"947 McLean Ave, Yonkers, NY 10704-4107"
Cornells In Little Italy," Italian, Vegetarian Friendly, Gluten Free Options",4.0,284.0,"Caught up with some friends for a mid week dinner after hearing secondhand about the restaurant. Drinks to start were good. Salads were okay. All four entrees were disappointing, perhaps because we all anticipated better. Service was acceptable.",+1 518-370-3825,2.5,"39 North Jay Street, Schenectady, NY 12305"
Loi Estiatorio," Mediterranean, Greek, Seafood",4.5,535.0,"It looked promising, the chef came up to our table, but sadly enough the food wasn't any good. It was bland (we had the lasagna and the mussels) and the lasagna was very dry. There was no sauce in the lasagna at all. 10 mussels...More",+1 212-713-0015,2.5,"132 W 58th St, New York City, NY 10019-2135"
15 Church Restaurant," American, Vegetarian Friendly, Vegan Options",4.5,821.0,"My husband and I absolutely love the food, the atmosphere and the staff! The food is hands down the BEST that we have ever had! We highly recommend.",+1 518-587-1515,4.0,"15 Church St, Saratoga Springs, NY 12866-2108"
The Red Fern," American, Vegetarian Friendly, Vegan Options",4.5,124.0,This was my first time here and I was very impressed with the menu. I have a severe dairy allergy and to be able to chose any item on a menu was a great experience. I want to thank the owners of this lovely little...More,+1 585-563-7633,2.5,"283 Oxford St, Rochester, NY 14607-2749"
Canali's Restaurant," Italian, Vegetarian Friendly, Vegan Options",4.5,342.0,"We were  a party of 10... We had a reservation and were immediately seated... The enviroment was pleasantly decorated and we were able to speak around our table with relative ease. Everyone ordered a different entree and every serving was GIANT! Noone went home hungry,...More",+1 518-355-5323,2.5,"126 Mariaville Rd, Schenectady, NY 12306-1429"
Black & Blue Steak & Crab," American, Steakhouse, Seafood",4.0,497.0,"Average, but just average.  For the $120 price tag for two, there are several other restaurants in Rochester that offer more.

First of all, both the service and the kitchen were slow - incredibly so.  They were moderately busy for a Tuesday evening but not...More",+1 585-421-8111,4.0,"3349 Monroe Ave, Rochester, NY 14618-5513"
The Appian Way," Italian, Vegetarian Friendly",4.5,50.0,You can feel history as you walk a few steps on this early Roman roadway. The soldiers used this as early travel. It is a marvel that it has been preserved throughout the centuries. Some hop on hop offs will take you here. We asked...More,+1 518-393-8460,2.5,"1839 Van Vranken Ave, Schenectady, NY 12308-1633"
Jungsik," Asian, Korean, Gluten Free Options",4.5,272.0,"Instead of going for the full tasting menu we came here to enjoy their dessert only tasting menu. Understandably, this is served in the bar rather than in the main dining area. Despite this, the service - of both the food and wine - was...More",+1 212-219-0900,4.0,"2 Harrison St, New York City, NY 10013-2810"
The Cub Room," American, Bar, Vegetarian Friendly",4.5,159.0,"My friend and I came here for drinks. We each enjoyed two cocktails, which were made to perfection. The bartender, Tony, was super friendly and accommodating - he chatted with us about the different cocktails and gave recommendations. It was a quieter night at the...More",+1 585-363-5694,2.5,"739 S.Clinton Ave, Rochester, NY 14620"
Park Avenue Pub & Restaurant," American, International, Pub",4.5,163.0,"The park ave pub is one of our favorite places for a delicious and relaxing dinner. Scott and Joel are always so gracious and sincere. While there is a cute little bar there’s no tv, darts or jukebox. Just a cozy and comfortable place for...More",+1 585-461-4140,2.5,"650 Park Ave, Rochester, NY 14607-2943"
Casa Enrique," Mexican, Latin, Vegetarian Friendly",4.5,258.0,"We had dinner at Casa Enrique: home of the best mexican food in the Big Apple and the only Mexican earning a Michelin Star.

The food was absolutely delicious an super good prepared. We highly recommend a visit to this place.

We will go again...More",+1 347-448-6040,2.5,"548 49th Ave, Long Island City, NY 11101-5611"
Whiskey Tavern," American, Bar, Pub",4.5,173.0,"Awesome little pub hidden away in Chinatown. Great service, busy place with bustling atmosphere. Had a lot of fun and left stuffed!",+1 212-374-9119,2.5,"79 Baxter St, New York City, NY 10013-4462"
Schatzi's Pub and Bier Garden," German, Bar, American",4.0,120.0,"Let’s start with the atmosphere - very west coast brewing vibes. Right away the selections were captivating. The names of the drinks were catchy and quiet laughable. The dedication to the other local breweries was a very nice touch. Specifically, I’d like to mention our...More",Not Available,2.5,"202 Main St, Poughkeepsie, NY 12601-6734"
Johnny's," Italian, American, Vegetarian Friendly",4.5,661.0,Wonderful family atmosphere! Great food and plentiful portions. The piccata sauce is simply the best hands down. Geat selection of food and beverages!,+1 518-982-5657,2.5,"433 State St, Schenectady, NY 12305-2322"
Xian Famous Food," Chinese, Fast Food, Asian",4.0,87.0,"If you have an appetite for spicy food and noddles, this is the best place in Flushing. The narrow shaped restaurant can be filled up quickly, even with 30+ seats. Get your order placed and picked up from the counter, you will see people coming...More",+1 347-294-0022,1.0,"4128 Main St Bsmt 36, Flushing, NY 11355-3177"
Ganesh Temple Canteen," Indian, Asian, Vegetarian Friendly",4.5,38.0,"Best Indian food, can only recommend. Very very friendly people in the temple, beautiful place to visit as such as well. Cheap and authentic Indian food from a specific region.",+1 718-460-8484,1.0,"4557 Bowne St, Flushing, NY 11355-2202"
Nelsons Cafe," American, Cafe, Diner",5.0,41.0,"Small hometown restaurant wirh great food and service. Serving breakfast, lunch and Friday dinners. Everything is made from scratch. The Omelettes and pancakes are the best.Very clean and friendly.",+1 716-694-0444,1.0,"2298 River Rd, Niagara Falls, NY 14304-3712"
"Diana of Little Chef, Little Kitchen"," Dine With a Local Chef, Italian, American",5.0,105.0,This restaurant was recommended by our host in NY...and I'm glad we went...Diana is just fantastic and food was prepared with such care. Tasty and plenty. Will come back again when in NY.,Not Available,2.5,"Not Specified, New York City, NY"
Blue," American, Seafood, Mediterranean",4.5,335.0,"Text is same as title.   The place is sublime.  Once I was so happy that I had the chef called out from the kitchen, to thank him, and we were BOTH delighted.",+1 718-273-7777,2.5,"1115 Richmond Ter, Staten Island, NY 10310-1108"
Lake Effect Diner," American, Diner, Vegan Options",4.0,392.0,"Went for lunch, food was good, coffee terrible. Won't return. Atmosphere was nice inside the diner, very retro. However during our travels, we have visited diners and prices were more in line",+1 716-833-1952,2.5,"3165 Main St, Buffalo, NY 14214-1310"
Westville Dumbo," American, Bar, Vegetarian Friendly",4.5,180.0,"Great food, good vibe, excellent service. We went for a very late lunch / early dinner at 4pm as we were having a wander around Dumbo. Chicken strips as an appetiser followed by fish and chips and a burger. The portion sizes are right (not...More",+1 718-618-5699,2.5,"81 Washington St, Brooklyn, NY 11201-1411"
The Brook Tavern," American, Bar, Vegetarian Friendly",4.5,255.0,"A warm welcome at the door, great ambiance, and service. (Thanks Molly). I was curious about the oyster selection on the menu and dropped them a note. Fast reply with all the information I needed and more. The oysters were delicious, and the martini was...More",+1 518-871-1473,2.5,"139 Union Ave, Saratoga Springs, NY 12866-3502"
Court Square Diner," American, Diner, Vegetarian Friendly",4.0,567.0,We loved this place it is exactly how we imagined an American diner to be and the foot tasted good! Nice breakfast,+1 718-392-1222,1.0,"4530 23rd St, Long Island City, NY 11101-4726"
Spring Shabu-Shabu," Asian, Vegetarian Friendly, Vegan Options",4.5,52.0,"The choices for hot pot were great!  We had to alter the temp of one of our individual hot pots, but once we got it right all worked well.  The service was efficient.",+1 718-395-8076,2.5,"13620 38th Ave, Flushing, NY 11354-4277"
Taverna Kyclades," Seafood, Mediterranean, Greek",4.5,766.0,"This has been our favorite restaurant, since we discovered it. The food is always delicious and the service is great.",+1 718-545-8666,2.5,"3307 Ditmars Blvd, Astoria, NY 11105-2105"
Fontana Famous Pizza," Mediterranean, Greek",4.0,57.0,This was my first time there and it was recommended to me by a friend. I was amazed at how big the portions are. The food is really good. I had a chicken gyro which was so filling I could not eat dinner that night....More,+1 718-631-0147,1.0,"20002 Northern Blvd, Flushing, NY 11361-2541"
Bayou," American, Seafood, Vegetarian Friendly",4.5,196.0,"Really enjoyed my dinner here, went for a $25 4 course deal, gumbo, fried calamari, jamming jumbalaya, dessert. The gumbo was good, the calamari excellent and the jumbalaya very good! Awaiting dessert!",+1 718-273-4383,2.5,"1072 Bay St, Staten Island, NY 10305-4906"
Trinciti Roti Shop and Restaurant," Caribbean, Indian, International",4.0,42.0,This place is absolutely the best! I truly think this one of NYC's hidden gems. If you get a chance to order their bake and shark please do yourself a favor. There Roti is also excellent and there doubles are divine.,+1 718-641-3636,1.0,"11105 Lefferts Blvd, South Ozone Park, NY 11420-1344"
Calle Dao Chelsea," Chinese, Cuban, Latin",4.5,27.0,"This is the first time I’ve visited the Chelsea location. Compared to the Bryant park location this one is more spacious and less crowded. The location is a bit hidden. The food is great, a but pricey but the staff is courteous and attentive. I...More",+1 212-414-4104,2.5,"461 W 23 Street, New York City, NY 10011"
Frank Pepe Pizzeria Napoletana," Italian, Pizza, Vegetarian Friendly",4.0,185.0,"A limited menu but a grat tasting white clam pizza.  If pizza and salad are what you crave, this is the place",+1 914-961-8284,2.5,"1955 Central Ave, Yonkers, NY"
Taverna Kyclades," Seafood, Mediterranean, Greek",4.5,766.0,"This has been our favorite restaurant, since we discovered it. The food is always delicious and the service is great.",+1 718-545-8666,2.5,"3307 Ditmars Blvd, Astoria, NY 11105-2105"
Mcgeary's," American, Irish, Bar",4.5,118.0,"With random objects stuck to the walls, limited organization of seating, and a set of patrons on the rougher side, McGeary's is more dive bar than Irish pub. Not necessarily a criticism, just a realistic pub preview. Jerk vegan strips took some crocodile-ish bite pressure...More",+1 518-463-1455,2.5,"4 Clinton Sq, Albany, NY 12207-2201"
TEMPO," American, Gluten Free Options, Vegetarian Friendly",4.5,283.0,"Amazing from start to finish! Warm gorgeous decor, great staff and service from everyone, and the food was delicious! They brought us a little sampler of spiced  olives, feta and pickled vegetables, then some warm bread with lentil oil for dipping, all amazing! We shared...More",+1 716-885-1594,4.0,"581 Delaware Ave, Buffalo, NY 14202-1201"
Butcher Bar," American, Bar, Barbecue",4.5,314.0,Tried this place in on a groupon and this place blew me away. The food was amazing and the service was 5 stars. I can't wait to go back.,+1 718-606-8140,2.5,"3710 30th Ave, Astoria, NY 11103-4331"
MIX Kitchen and Bar," Fusion, Vegetarian Friendly, Vegan Options",4.5,351.0,"We go to MIX every couple of weeks for breakfast.  Omelets, French toast and pancakes are all marvelous!  Our server has been Tristan on most occasions and I recommend him most highly!",+1 607-319-4248,2.5,"205 Elmira Rd, Ithaca, NY 14850-5301"
City Vineyard," American, Bar, Seafood",4.5,374.0,"Came here to see Andrea Gibson perform, we were excited for the show but became even more excited when we saw what a cool spot this was, the Views and vibe were awesome and to match the ambiance, the service and food were phenomenal. We...More",+1 646-677-8350,2.5,"233 West Street, New York City, NY 10013"
Zen," Sushi, Asian, Japanese",4.0,142.0,"My lunch companion and I decided on Zen Friday afternoon around 2 p.m.  It was not crowded, the service was excellent.  We both had grilled Bento Boxes with shrimp.  This was a nice variety at a reasonable price.  It was delicious.  I would skip dessert...More",+1 518-280-0388,2.5,"469 State St, Schenectady, NY 12305-2307"
Sugar and Spice Cafe," Cafe, American, Vegetarian Friendly",4.5,34.0,"Great cafe type restaurant. The wait for the food was a little long for my liking, but the food was definitely worth the wait. Also, the seating can be a little tricky if you are in a group and it is crowded. Overall I would...More",+1 845-471-4603,2.5,"2600 South Rd, Poughkeepsie, NY 12601-7003"
Blue Tusk Pub & Wine Bar," American, Bar, Pub",4.0,185.0,In Syracuse for business and a local recommended the Blue Tusk.  We went at lunch and had a fantastic experience.  The menu is large and the sandwiches were awesome.  Service was fast and friendly.  It was not crowded for lunch in the middle of the...More,+1 315-472-1934,2.5,"165 Walton St, Syracuse, NY 13202-1224"
Gene McCarthy's," American, Irish, Bar",4.5,83.0,We have eaten here many a time when visiting Buffalo. Always get a Reuben Salad. Can't go wrong. Place is always packed.,+1 716-855-8948,2.5,"73 Hamburg St, Buffalo, NY 14204-2719"
Tony D’s," Italian, Bar, Pizza",4.0,251.0,"I've been to Tony D's before and it was fantastic, felt the need to write another review as a result of a recent dinner. It was amazing!",+1 585-413-3640,2.5,"288 Exchange Blvd, Rochester, NY 14608-2707"
Athos Restaurant," Seafood, Mediterranean, Greek",4.5,713.0,"Amazing food with great variety, delicious appetizers, main dishes and desserts following the original Greek recipes. Excellent and very professional service, friendly personnel.",+1 518-608-6400,2.5,"1814 Western Ave, Albany, NY 12203-4602"
Rise N Shine Diner," American, Diner, Vegetarian Friendly",4.5,195.0,"First time at Rise N Shine diner and we had a wonderful experience. Our server, Ashly, was phenomenal. Breakfast was delicious and served in a super timely matter! Really cool place with great decor and a rad menu. Highly recommend!",+1 315-432-5510,1.0,"6393 Thompson Rd, Syracuse, NY 13206-1407"
Oliver's Restaurant," American, International, Contemporary",4.5,170.0,"Full disclosure - we rarely go to Oliver's and when we do we leave saying ""why don't we come here more often?!"".  My 2020 resolution- Go to Oliver's more!!

We recently went to dinner this Christmas season- the bar and restuarant were tastfully decorated for...More",+1 716-877-9662,4.0,"2095 Delaware Ave, Buffalo, NY 14216-3212"
Sanford's," American, Vegetarian Friendly, Gluten Free Options",4.5,190.0,First off I never ever write reviews but I had to this time. I ordered the farm salad for 24.00 and it was definitely without a question one of the Costco or supermarket bagged salad. I was expecting a home made salad and this DEFINITELY...More,+1 718-932-9569,2.5,"3013 Broadway, Astoria, NY 11106-2610"
Scallions Restaurant," American, Vegetarian Friendly, Vegan Options",4.5,436.0,"We travel once a year to the Dance Flurry weekend event in Saratoga Springs.  We always make a point to eat at Scallions at least once, and this time we ate there twice.  I perused my previous reviews, and simply could not believe that I...More",+1 518-584-0192,2.5,"44 Lake Ave, Saratoga Springs, NY 12866-2316"
Stella's Diner," American, Diner, Vegetarian Friendly",4.5,579.0,"Stopped in for breakfast at 9am. Perfect timing because by the time we left there was a line with a wait. Service was very good. Attentive waitress who was constantly refilling our drinks. 

I order and fruit cup and bacon. The fruit looked anemic but...More",+1 315-425-0353,1.0,"110 Wolf St, Syracuse, NY 13208-1027"
City Line Bar and Grill," American, Bar, Pub",4.0,236.0,"I went here during Valentine's Day, so reservations were needed. I ordered a Poke bowl and my husband ordered the Mediterranean. My husband ordered his with chicken, but was served without it (he did end up with it after talking to the server). The bowl...More",+1 518-504-1200,2.5,"1200 Western Ave, Albany, NY 12203-3326"
The Distillery Restaurant Mt. Hope," American, Bar, Pub",4.0,409.0,This place had the best happy hour specials.  Half off appetizers and a great selection of drink specials.  The food was delicious and we were fortunate that while staying at Staybridge Suites that transportation was providing both to and from this restaurant.  It was a...More,+1 585-271-4105,2.5,"1142 Mount Hope Ave, Rochester, NY 14620-2951"
Aldo's II Pizzeria and Restaurant," Italian, Pizza, Vegetarian Friendly",4.0,60.0,nice uhgey738ju3b u4y4hf 4jfr84nf u4yrg7gy7tf4uhf8h4f ffi84hfnjn4fhuhff fu4hfu4hfu4fh fu4bfu4gfuf ufhbu4hfunfhb 48fgu4hf8ih4nr fhu4nfi4u8fhf u74bfu4f,+1 718-848-6895,2.5,"Pitkin ave crossbay blvd, Ozone Park, NY 11417-2803"
Amici's," Italian, Bar, Pizza",4.0,197.0,Traditional Italian dishes that grandma would love and an amazing selection of culinary inspired dishes that rival some high end NYC restaurants.  Chef Joel is often seen greeting tables and making sure everyone’s dinning experience is wonderful.,+1 845-452-4700,2.5,"35 Main St, Poughkeepsie, NY 12601-2935"
Delmonico's Italian Steak," Italian, American, Vegetarian Friendly",4.0,417.0,Delmonicos is your typical Italian steak house.  It was very busy and noisy but they could accommodate the crowd as there is a lot of seating.  I ordered the special tuna with tomato and basil.  The description stated chopped tomato and basil over a tuna...More,+1 315-445-1111,2.5,"2950 Erie Blvd E, Syracuse, NY 13224-1431"
Ithaca Coffee Company," American, Bar, Cafe",4.0,37.0,"We wanted to eat at Ithaca Bakery (inside the Triphammer Marketplace), but instead, we have mistakenly walked into Ithaca Coffee Company. The food selection is limited and a bit pricey ($3 for cream cheese bagel, $3 for a scone). However, we really enjoyed the cozy...More",+1 607-257-2669,2.5,"2255 N Triphammer Rd, Ithaca, NY 14850-1576"
Jackson Hole," Greek, American, Vegetarian Friendly",4.5,167.0,Wow one the best burgers in the world with a variety of food to chose from the menu plus the shakes are to die for.,+1 718-204-7070,2.5,"69_35 Astoria Boulevard, East Elmhurst, NY 11370"
Broadway Bagel," American, Cafe, Vegetarian Friendly",4.5,230.0,Very delicious egg & cheese bagel at a very good price. Also try the brownie. It’s worth it for sure :),+1 212-662-0231,1.0,"2658 Broadway, New York City, NY 10025-5023"
Full Moon Pizzeria & Restaurant," Italian, Pizza, Vegetarian Friendly",4.5,239.0,the only pizzeria my grandkids like to eat from ...in the heart of little Italy in the bronx..been going to the pizzeria for years,+1 718-584-3451,1.0,"602 E 187th St, Bronx, NY 10458-6724"
Warehouse Grill & BBQ," American, Bar, Barbecue",4.0,261.0,Very good BBQ in the Albany area. The serving sizes are huge. The brisket platter was phenomenal. Good Mac and cheese and collard greens too.,+1 518-489-5227,2.5,"219 Wolf Rd, Albany, NY 12205-1114"
Ayada Thai," Asian, Thai, Vegetarian Friendly",4.5,89.0,"Just took friends and family, 7 of us; ordered 2 appetizers, soup, 5 dishes. Most were very good, one dish somewhat cold. Three young waitresses with poor attitude and bad service. When one of us asked about coffee, rude response was ""Only cold thai tea...we...More",+1 718-424-0844,2.5,"7708 Woodside Ave, Elmhurst, NY 11373-1941"
The Left Bank," American, Vegetarian Friendly, Vegan Options",4.5,676.0,"We've been a patron of this establishment for well over 15 years, many of those years we dined here every other week. It was our best place and we were the epitomy of, ""You gotta go, it's the best"", statement. Whether we sat at the...More",+1 716-882-3509,2.5,"511 Rhode Island St, Buffalo, NY 14213-2317"
Highland Park Diner," American, Diner, Vegetarian Friendly",4.0,216.0,"I usually love this place but this time not at all.  It seems the quality of food has hit an all time low.  I ordered an omelet, which was overcooked, lacked any flavor.  Toast wasn't even buttered, I actually used my own packets of butter...More",+1 585-461-5040,1.0,"960 Clinton Ave S, Rochester, NY 14620-2023"
El Azteca Mexican Deli," Mexican, Latin, Spanish",4.5,38.0,"Always cheerful service, great guacamole and delicious mole. We go often. Outdoor seating is a plus.",+1 845-483-7677,1.0,"97 Main St, Poughkeepsie, NY 12601-2928"
Daniella's Steakhouse," American, Steakhouse, Vegetarian Friendly",4.5,308.0,"I stopped in on a Saturday evening with a friend. Don't let the motel exterior fool you. The restaurant itself is a hidden gem. It's by no means a large dining room, and quarters are somewhat cosy at the tables. That having been said, the...More",+1 315-471-9874,2.5,"670 State Fair Blvd, Syracuse, NY 13209-1308"
Vetro by Russo's on the Bay," Italian, Vegetarian Friendly, Vegan Options",4.5,138.0,Had a nice dinner here with my wife. Food was very good and so was service. I had the scallops special which was very fresh and an excellent choice.  The cannoli Sunday was a very tasty dessert.,+1 718-843-8387,4.0,"16449 Crossbay Blvd, Howard Beach, NY 11414-3743"
Community Food & Juice," American, Healthy, Vegetarian Friendly",4.0,281.0,"Most of what this restaurant has going for it is its great location on Broadway near the University, and it’s comfortable and stylish dining room. Beyond that... I’d recommend giving it a miss. The food is fine, the service is quick and friendly, but everything...More",+1 212-665-2800,2.5,"2893 Broadway, New York City, NY 10025-7820"
Gyu-Kaku - White Plains," Japanese, Barbecue, Asian",4.0,65.0,Me and my husband have been here 3 times and we will keep coming back lol. The food is amazing and the service is always great.,+1 914-358-5206,2.5,"169 Main St, White Plains, NY 10601-3101"
